sentence_num,diff_line,county,state
1,Proclamations related to COVID-19 include: April 29 April 18 April 15 March 26 March 22 March 13ResidentsBusinessesHealthcare ProvidersNursing HomesA PDF HERE A PDF HERE A PDF HERE A PDF HERE A PDF HERE A PDF HERE Scraping from https://covid19.wakegov.com/assistance/ Help for Residents Wake County is working to ensure residents can continue accessing services during the COVID-19 response effort.,wake,North Carolina
2,Scraping from https://covid19.wakegov.com/food-resources/ Food Resources Meal sites for children are open across Wake County to serve meals to students daily.,wake,North Carolina
3,Scraping from https://covid19.wakegov.com/wake-county-faqs/#Other-COVID-19-Related-FAQs Wake County FAQs North Carolina has moved into Phase 2 of the Governor’s plans to reopen.,wake,North Carolina
4,"Scraping from https://covid19.wakegov.com/service-hours/ COVID-19 Closings and Changes to Service CHOOSE AN ITEM BELOWAnimal Services CenterCCBI (Public Fingerprinting Services)Child Support (Department of Human Services)Clinic Services (Department of Human Services)Convenience Centers (Solid Waste)Economic Services (Department of Human Services)Wake County Public LibrariesParks, Recreation & Open SpacesPermits & InspectionsRegional Centers (Department of Human Services)Tax AdministrationVeterans Services OfficeCHOOSE AN ITEM BELOW Wake County Services Current Status Due to the COVID-19 pandemic, many of Wake County’s facilities and services are temporarily closed or operating on alternate schedules.",wake,North Carolina
5,Scraping from https://covid19.wakegov.com/wakehelps The COVID-19 pandemic has significantly impacted our economy.,wake,North Carolina
6,"Apply Now (English)Apliqar Ahora (Español) Scraping from https://covid19.wakegov.com/guidance-for-business/ Guidance for Businesses Beginning May 22, North Carolina entered the second phase of easing certain restrictions under Gov.",wake,North Carolina
7,"Scraping from https://covid19.wakegov.com/timeline/ Timeline of COVID-19 in Wake County First case of COVID-19 identified in North Carolina in Wake County Scraping from https://covid19.wakegov.com/guidance-for-residents-2/ Guidance for Residents Beginning May 22, North Carolina entered the second phase of easing certain restrictions under Gov.",wake,North Carolina
8,"For fact sheets, graphics for digital media and other resources, see below: Arabic Chinese – Simplified Chinese – Traditional English French Hindi Korean Spanish Tamil Telugu Vietnamese View All Scraping from https://covid19.wakegov.com/wakeforward/ COVID-19 has changed the landscape of our communities in ways we never could have imagined.",wake,North Carolina
9,Wake Forward Small Business Program Apply NowApply here starting May 20 at noon Scraping from https://covid19.wakegov.com/wake-county-faqs/#wake-forward-faq Wake County FAQs North Carolina has moved into Phase 2 of the Governor’s plans to reopen.,wake,North Carolina
10,Additional Resources: Centers for Disease Control and Prevention – Community and Faith-Based Organizations N.C. Department of Health & Human Services – Community and Faith-Based Organizations Center for Faith and Opportunity Initiatives Checklist for Reopening Faith-Based Organizations Safely NCDHHS Interim Guidance for Places of Worship and Religious Services in Phase 2 (as of May 22) Scraping from https://covid19.wakegov.com/guidance-for-healthcare-providers/ Guidance for Healthcare Providers Information about COVID-19 is changing rapidly.,wake,North Carolina
11,Additional Information Additional information for healthcare providers can be found on the North Carolina Department of Health and Human Services website as well as on the Centers for Disease Control and Prevention site Scraping from https://covid19.wakegov.com/guidance-for-nursing-homes/ Guidance for Nursing Homes #sp-ea-6997 .spcollapsing { height: 0; overflow: hidden; transition-property: height;transition-duration: 200ms;} .sp-easy-accordion iframe {width: 100%;}#sp-ea-6997.sp-easy-accordion .sp-ea-single {border: 1px solid #e2e2e2; }#sp-ea-6997.sp-easy-accordion .sp-ea-single .ea-header a {color: #444;}#sp-ea-6997.sp-easy-accordion .sp-ea-single .ea-body {background: #fff; color: #444;}#sp-ea-6997.sp-easy-accordion .sp-ea-single {background: #eee;}#sp-ea-6997.sp-easy-accordion .sp-ea-single .ea-header a .ea-expand-icon.fa { float: left; color: #71c0c9;font-size: 16px;} What are the special restrictions for nursing homes?,wake,North Carolina
12,"Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=55&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
13,"To request this testing, please complete the water sample request form available here .",union,North Carolina
14,Submit the form to the Environmental Health office or scan and e-mail it to: unioncountyeh@unioncountync.gov .,union,North Carolina
15,Please note on the form that the testing is being requested due to the hurricane/flooding.,union,North Carolina
16,"A reminder for well owners: If extensive flooding has occurred or you suspect your well may be contaminated, DO NOT drink the water.",union,North Carolina
17,Use a safe water supply like bottled or treated(https://www.cdc.gov/healthywater/emergency/drinking/creating-storing-emergency-water-supply.html) water.,union,North Carolina
18,Contact Union County Environmental Health for specific advice on wells and testing.,union,North Carolina
19,IMPORTANT: Fuel and other chemical releases and spills are common during flood events.,union,North Carolina
20,"If your water smells like fuel or has a chemical odor or if you live in an area where the potential for a release of fuels, pesticides, or other hazardous chemicals is high, do not consume the water.",union,North Carolina
21,Water contaminated with fuel or toxic chemicals will not be made safe by boiling or disinfection.,union,North Carolina
22,"Until you know the water is safe, use bottled water or some other safe supply of water.",union,North Carolina
23,"Scraping from https://www.unioncountync.gov/news/cane-creek-closed-today-tuesday-september-18th Cane Creek Closed Today, Tuesday September 18th Posted on September 18, 2018 Cane Creek will be closed today (9/18/18), in order that we may conduct damage assessment.",union,North Carolina
24,"Scraping from https://www.unioncountync.gov/news/declaration-state-emergency-amended-9162018 Declaration of a State of Emergency- amended 9/16/2018 Posted on September 16, 2018 Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=56&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
25,"To request this testing, please complete the water sample request form available here .",union,North Carolina
26,Submit the form to the Environmental Health office or scan and e-mail it to: unioncountyeh@unioncountync.gov .,union,North Carolina
27,Please note on the form that the testing is being requested due to the hurricane/flooding.,union,North Carolina
28,"A reminder for well owners: If extensive flooding has occurred or you suspect your well may be contaminated, DO NOT drink the water.",union,North Carolina
29,Use a safe water supply like bottled or treated(https://www.cdc.gov/healthywater/emergency/drinking/creating-storing-emergency-water-supply.html) water.,union,North Carolina
30,Contact Union County Environmental Health for specific advice on wells and testing.,union,North Carolina
31,IMPORTANT: Fuel and other chemical releases and spills are common during flood events.,union,North Carolina
32,"If your water smells like fuel or has a chemical odor or if you live in an area where the potential for a release of fuels, pesticides, or other hazardous chemicals is high, do not consume the water.",union,North Carolina
33,Water contaminated with fuel or toxic chemicals will not be made safe by boiling or disinfection.,union,North Carolina
34,"Until you know the water is safe, use bottled water or some other safe supply of water.",union,North Carolina
35,"Scraping from https://www.unioncountync.gov/news/cane-creek-closed-today-tuesday-september-18th Cane Creek Closed Today, Tuesday September 18th Posted on September 18, 2018 Cane Creek will be closed today (9/18/18), in order that we may conduct damage assessment.",union,North Carolina
36,"Scraping from https://www.unioncountync.gov/news/declaration-state-emergency-amended-9162018 Declaration of a State of Emergency- amended 9/16/2018 Posted on September 16, 2018 Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=57&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
37,"To request this testing, please complete the water sample request form available here .",union,North Carolina
38,Submit the form to the Environmental Health office or scan and e-mail it to: unioncountyeh@unioncountync.gov .,union,North Carolina
39,Please note on the form that the testing is being requested due to the hurricane/flooding.,union,North Carolina
40,"A reminder for well owners: If extensive flooding has occurred or you suspect your well may be contaminated, DO NOT drink the water.",union,North Carolina
41,Use a safe water supply like bottled or treated(https://www.cdc.gov/healthywater/emergency/drinking/creating-storing-emergency-water-supply.html) water.,union,North Carolina
42,Contact Union County Environmental Health for specific advice on wells and testing.,union,North Carolina
43,IMPORTANT: Fuel and other chemical releases and spills are common during flood events.,union,North Carolina
44,"If your water smells like fuel or has a chemical odor or if you live in an area where the potential for a release of fuels, pesticides, or other hazardous chemicals is high, do not consume the water.",union,North Carolina
45,Water contaminated with fuel or toxic chemicals will not be made safe by boiling or disinfection.,union,North Carolina
46,"Until you know the water is safe, use bottled water or some other safe supply of water.",union,North Carolina
47,"Scraping from https://www.unioncountync.gov/news/cane-creek-closed-today-tuesday-september-18th Cane Creek Closed Today, Tuesday September 18th Posted on September 18, 2018 Cane Creek will be closed today (9/18/18), in order that we may conduct damage assessment.",union,North Carolina
48,"Scraping from https://www.unioncountync.gov/news/declaration-state-emergency-amended-9162018 Declaration of a State of Emergency- amended 9/16/2018 Posted on September 16, 2018 Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=58&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
49,"To request this testing, please complete the water sample request form available here .",union,North Carolina
50,Submit the form to the Environmental Health office or scan and e-mail it to: unioncountyeh@unioncountync.gov .,union,North Carolina
51,Please note on the form that the testing is being requested due to the hurricane/flooding.,union,North Carolina
52,"A reminder for well owners: If extensive flooding has occurred or you suspect your well may be contaminated, DO NOT drink the water.",union,North Carolina
53,Use a safe water supply like bottled or treated(https://www.cdc.gov/healthywater/emergency/drinking/creating-storing-emergency-water-supply.html) water.,union,North Carolina
54,Contact Union County Environmental Health for specific advice on wells and testing.,union,North Carolina
55,IMPORTANT: Fuel and other chemical releases and spills are common during flood events.,union,North Carolina
56,"If your water smells like fuel or has a chemical odor or if you live in an area where the potential for a release of fuels, pesticides, or other hazardous chemicals is high, do not consume the water.",union,North Carolina
57,Water contaminated with fuel or toxic chemicals will not be made safe by boiling or disinfection.,union,North Carolina
58,"Until you know the water is safe, use bottled water or some other safe supply of water.",union,North Carolina
59,"Scraping from https://www.unioncountync.gov/news/cane-creek-closed-today-tuesday-september-18th Cane Creek Closed Today, Tuesday September 18th Posted on September 18, 2018 Cane Creek will be closed today (9/18/18), in order that we may conduct damage assessment.",union,North Carolina
60,"Scraping from https://www.unioncountync.gov/news/declaration-state-emergency-amended-9162018 Declaration of a State of Emergency- amended 9/16/2018 Posted on September 16, 2018 Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=59&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
61,"To request this testing, please complete the water sample request form available here .",union,North Carolina
62,Submit the form to the Environmental Health office or scan and e-mail it to: unioncountyeh@unioncountync.gov .,union,North Carolina
63,Please note on the form that the testing is being requested due to the hurricane/flooding.,union,North Carolina
64,"A reminder for well owners: If extensive flooding has occurred or you suspect your well may be contaminated, DO NOT drink the water.",union,North Carolina
65,Use a safe water supply like bottled or treated(https://www.cdc.gov/healthywater/emergency/drinking/creating-storing-emergency-water-supply.html) water.,union,North Carolina
66,Contact Union County Environmental Health for specific advice on wells and testing.,union,North Carolina
67,IMPORTANT: Fuel and other chemical releases and spills are common during flood events.,union,North Carolina
68,"If your water smells like fuel or has a chemical odor or if you live in an area where the potential for a release of fuels, pesticides, or other hazardous chemicals is high, do not consume the water.",union,North Carolina
69,Water contaminated with fuel or toxic chemicals will not be made safe by boiling or disinfection.,union,North Carolina
70,"Until you know the water is safe, use bottled water or some other safe supply of water.",union,North Carolina
71,"Scraping from https://www.unioncountync.gov/news/cane-creek-closed-today-tuesday-september-18th Cane Creek Closed Today, Tuesday September 18th Posted on September 18, 2018 Cane Creek will be closed today (9/18/18), in order that we may conduct damage assessment.",union,North Carolina
72,"Scraping from https://www.unioncountync.gov/news/declaration-state-emergency-amended-9162018 Declaration of a State of Emergency- amended 9/16/2018 Posted on September 16, 2018 Scraping from https://www.unioncountync.gov/news/county-facilities-closed-independence-day?ccm_paging_p=60&ccm_order_by=&ccm_order_by_direction= Scraping from https://www.unioncountync.gov/news/free-well-water-testing-union-county-residents-affected-hurr Free Well Water Testing for Union County Residents affected by Hurricane Florence Posted on September 18, 2018 Union County Environmental Health is offering free bacteriological well water testing for Union County residents affected by Hurricane Florence.",union,North Carolina
73,"To request this testing, please complete the water sample request form available here .",union,North Carolina
