sentence_num,diff_line,county,state
1,"© 2017 - Cumberland County, North Carolina Scraping from http://www.co.cumberland.nc.us/departments/public-information-group/public-information-office/news-release-full-story/2020/08/21/151-new-cases-officials-urge-students-to-avoid-mass-gatherings The Department of Public Health reports 151 new COVID-19 cases and five additional deaths since the Tuesday, Aug. 18, report.",cumberland,North Carolina
2,"Cumberland County's case count is now 3,798 with 61 deaths.",cumberland,North Carolina
3,"Cumberland County currently has 108 cases per 10,000 residents, with 9% of those tested returning positive for COVID-19.",cumberland,North Carolina
4,"According to the North Carolina Department of Health and Human Services (NCDHHS) COVID-19 dashboard, of the 61 deaths: Colleges and Universities Return to Class Public Health officials are urging students to avoid mass gatherings as they return to area universities and colleges.",cumberland,North Carolina
5,"“We are already seeing cases increases in those ages 18-25 in our area and around the state,” said Health Director Dr. Jennifer Green.",cumberland,North Carolina
6,"“We understand college is a time to be social, but we must not relax our measures to slow the spread of this virus.” Students should practice their 3 Ws.",cumberland,North Carolina
7,Wear a face covering.,cumberland,North Carolina
8,Wait 6 feet apart from others.,cumberland,North Carolina
9,Wash your hands often.,cumberland,North Carolina
10,Quarantine and Isolation Protocols The Center for Disease Control (CDC) recently updated its isolation guidance based on the latest science about COVID-19 showing that people can continue to test positive for up to three months after diagnosis and not be infectious to others.,cumberland,North Carolina
11,The latest data suggests that retesting someone in the three months following initial infection is not necessary unless that person is exhibiting the symptoms of COVID-19 and the symptoms cannot be associated with another illness.,cumberland,North Carolina
12,People with COVID-19 should be isolated for at least 10 days after symptom onset and until 24 hours after their fever subsides without the use of fever-reducing medications.,cumberland,North Carolina
13,People who have been in close contact with someone who has COVID-19—excluding people who have had COVID-19 within the past three months should self-quarantine and monitor your symptoms.,cumberland,North Carolina
14,What counts as close contact?,cumberland,North Carolina
15,"LATEST UPDATES The Temporary Business Travel Policy has been extended through September 30, 2020.",durham,North Carolina
16,See the policy .,durham,North Carolina
17,"As of August 14, 2020, bandanas and neck gaiters are no longer permitted to be worn as face coverings by City employees.",durham,North Carolina
18,"Temporary HR Policy Timeline Current Policies Policy Name Effective Date Last Updated Expiration Date Temporary Employee Wellness March 13, 2020 July 14, 2020 December 31, 2020 Temporary Business Travel March 13, 2020 August 20, 2020 September 30, 2020 FFCRA Emergency Sick FMLA Leave April 1, 2020 April 1, 2020 December 31, 2020 Expired Policies Policy Name Effective Date Last Updated Expiration Date Temporary Leave & School Closures March 30, 2020 May 31, 2020 May 31, 2020 Temporary Premium Pay March 30, 2020 June 19, 2020 June 19, 2020 Temporary Personal Travel March 13, 2020 June 30, 2020 June 30, 2020 Communication With Employees The City uses a variety of methods to communicate with employees, but this page and the channels below will be the primary means of communication during the COVID-19 pandemic: City Week City Week , our weekly employee newsletter, is your best source for reliable, up-to-date communication from the City during COVID-19.",durham,North Carolina
19,"Homemade cloth masks are not being accepted at this time: https://sites.duke.edu/remedy/how-to-donate/ The Salvation Army is accepting cloth mask donations for emergency responders: 909 Liberty St. Durham, NC Donations accepted Monday-Friday, 9:00AM-3:00PM Donate money, food, other resources Click below for lists of organizations accepting donations: COVID-19 Resources Spreadsheet COVID-19 Community Resources In-person volunteer opportunities Click below for lists of opportunities to volunteer in person: Community Engagement Fund list of volunteer & donation opportunities Activate Good list of volunteer opportunities Virtual volunteer opportunities Visit Activate Good's website for a list of ways to get involved from home!",durham,North Carolina
20,"Scraping from https://health.nhcgov.com/your-environment/public-health/coronavirus/nhc-coronavirus-news/ COVID-19 case count, deaths continue to rise Scraping from https://news.nhcgov.com/news-releases/2020/07/new-hanover-county-covid-19-weekly-update-three-more-deaths-slight-decrease-is-percent-of-positive-tests/ Select LanguageAfrikaansAlbanianAmharicArabicArmenianAzerbaijaniBasqueBelarusianBengaliBosnianBulgarianCatalanCebuanoChichewaChinese (Simplified)Chinese (Traditional)CorsicanCroatianCzechDanishDutchEsperantoEstonianFilipinoFinnishFrenchFrisianGalicianGeorgianGermanGreekGujaratiHaitian CreoleHausaHawaiianHebrewHindiHmongHungarianIcelandicIgboIndonesianIrishItalianJapaneseJavaneseKannadaKazakhKhmerKinyarwandaKoreanKurdish (Kurmanji)KyrgyzLaoLatinLatvianLithuanianLuxembourgishMacedonianMalagasyMalayMalayalamMalteseMaoriMarathiMongolianMyanmar (Burmese)NepaliNorwegianOdia (Oriya)PashtoPersianPolishPortuguesePunjabiRomanianRussianSamoanScots GaelicSerbianSesothoShonaSindhiSinhalaSlovakSlovenianSomaliSpanishSundaneseSwahiliSwedishTajikTamilTatarTeluguThaiTurkishTurkmenUkrainianUrduUyghurUzbekVietnameseWelshXhosaYiddishYorubaZuluPowered by Translate function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', gaTrack: true, gaId: 'UA-48342370-23'}, 'google_translate_element'); } New Hanover County COVID-19 weekly update: Three more deaths, slight decrease in percent of positive tests Posted July 24, 2020 at 4:53 pm Category: Emergency News • News Release • Other • Public Health NEW HANOVER COUNTY, NC – New Hanover County Public Health officials were notified of three deaths of county residents from COVID-19 this week and are monitoring 13 outbreaks and clusters of COVID-19 in congregate living and child care settings in New Hanover County.",new_hanover,North Carolina
21,Two of the individuals who died this week were considered to be at risk of severe illness because they were over the age of 65 and had underlying health conditions.,new_hanover,North Carolina
22,The third person was in their 60’s with no known underlying health conditions.,new_hanover,North Carolina
23,This brings the total number of New Hanover County residents who have died from COVID-19 to 15.,new_hanover,North Carolina
24,"“Any loss of life is a tragedy for our community, and my heartfelt sympathy goes to the friends and families of these three people,” said New Hanover County Board of Commissioners Chair Julia Olson-Boseman.",new_hanover,North Carolina
25,"“We know what we need to do to slow the spread and protect others from this virus – wear a mask and stay six feet away from others when you’re out in public, and wash your hands as often as possible.",new_hanover,North Carolina
26,"If we keep working together on this, we should start to see cases leveling and lives saved.” This week, data shows additional lab-confirmed cases of COVID-19, as well as more COVID-19 hospitalizations.",new_hanover,North Carolina
27,"However, the percent of positive test results has started to trend down this past week.",new_hanover,North Carolina
28,"“The number of cases and hospitalizations we see now are cases that have been present in the community over the last few weeks, but our data is showing a decrease in the percent of positive lab-confirmed cases this past week, which is encouraging and could speak to the impact of people following the three W’s,” said New Hanover County Assistant Health Director Carla Turner, RN, MSHA.",new_hanover,North Carolina
29,“We urge community members to continue these actions to protect themselves and their loved ones.,new_hanover,North Carolina
30,"It slows the spread of COVID-19 while allowing for increased economic and leisure activity, all of which are so important to the public’s health.” Residents are urged to practice the three W’s – Wear, Wait, Wash, to slow the spread of COVID-19.",new_hanover,North Carolina
31,"Additionally, some outbreaks or clusters may have already met the definition of the outbreak/cluster concluding but may still be visible on the state report.",new_hanover,North Carolina
32,*Outbreak is reflected on state report but considered over by New Hanover County Public Health.,new_hanover,North Carolina
33,"Hospital data (last updated July 24) Source: New Hanover Regional Medical Center COVID-19 Testing in New Hanover County (as of today at 4 p.m.) Source: NC Department of Health and Human Services As testing increases, there are more lab-confirmed cases of COVID-19.",new_hanover,North Carolina
34,"The data below is calculated using results from labs that report to NC DHHS electronically (Electronic Lab Reports or “ELRs”), and may not be fully representative of all tests conducted in New Hanover County because some labs may not be reporting electronically to the state.",new_hanover,North Carolina
35,"### As of 4:00 p.m. on Friday, July 24, there are 2,102 positive cases of COVID-19 in New Hanover County.",new_hanover,North Carolina
