sentence_num,diff_line,county,state
1,"Scraping from https://www.spokanecounty.org/CivicAlerts.aspx?CID=9 Scraping from https://www.spokanecounty.org//CivicAlerts.aspx?AID=3063 Posted on: August 13, 2020 2020 Valuation Notices SPOKANE COUNTY, Wash. – Spokane County Assessor, Tom Konis announced today that his office will be mailing 204,775 real property valuation notices on Friday, August 14th.",spokane,Washington
2,"Scraping from https://www.spokanecounty.org//CivicAlerts.aspx?AID=3065 Posted on: August 13, 2020 County Commissioner's recognize local WWII Veteran on 100th Birthday World War II Veteran and Spokane Valley resident, Anthony ""Tony"" Fredrick Marcelli celebrates his 100th birthday Aug. 15, 2020.",spokane,Washington
3,"• Recovery Café Spokane Support Groups: Mindfulness Meditation Join Zoom Meeting https://zoom.us/j/693180866 Meeting ID: 693 180 866 Creative Writing https://ewu.zoom.us/j/518109394 Online Meetings Directory https://aa-intergroup.org/directory.php https://www.intherooms.com/home/ Speaker Tape Websites https://www.aaspeaker.com/ https://hacoaa.org/archives/speakers/ https://www.recoveryaudio.org/ Speaker Tape Apps -AA Audio Companion • Google Play - • App Store - https://itunes.apple.com/us/app/aa-audio-companion-for-alcoholics-anonymous/id1191023628?mt=8 AA Big Book Ultimate Companion • Google Play - https://play.google.com/store/apps/details?id=com.pitashi.audiojoy.aabigbook • App Store - https://apps.apple.com/us/app/aa-big-book-ultimate-companion/id998807519?ign-mpt=uo%3D4 AA Speaker Tapes • App Store - https://apps.apple.com/us/app/aa-speaker-tapes/id1335643834 AA Speaker Tapes & 12 Steps • App Store - https://apps.apple.com/us/app/aa-speaker-tapes-12-steps/id1018096090 AA Speakers • Google Play (free) - https://play.google.com/store/apps/details?id=com.marnistek.aaspeakersfree&hl=en_US • App Store ($1.99) - https://apps.apple.com/us/app/aa-speakers-speaker-tapes/id898586463?ign-mpt=uo%3D4 AA Speakers Best of 2007 • Google Play - https://play.google.com/store/apps/details?id=com.ibyteapps.aaspeakersbestof2007free&hl=en_US Alcoholics Anonymous - Bill W. • Google Play - https://play.google.com/store/apps/details?id=com.ibyteapps.aaspeakersbillwfree&hl=en_US Daily AA Speakers • Google Play - • App Store - https://itunes.apple.com/us/app/daily-aa-speakers-in-5-minutes/id1000523472?mt=8 Daily Bread AA • App Store - https://apps.apple.com/us/app/daily-bread-aa-speakers/id1000523472?ign-mpt=us%3D4 Joe and Charlie • Google Play - https://play.google.com/store/apps/details?id=com.ibyteapps.joeandcharliefree&hl=en_US • App Store - https://apps.apple.com/us/app/aa-joe-charlie-big-book-work/id1089811749?ign-mpt=uo%3D4 Speaker Tapes from Sandy • App Store - https://apps.apple.com/us/app/aa-sandy-b/id1071631421?ign-mpt=uo%3D4 • COVID-19 Resources - Washington Low Income Housing Alliance https://www.wliha.org/covid-19-resources• Resource List of State and Local Emergency Renter Protections due to COVID-19 https://docs.google.com/spreadsheets/d/1JChVH-SwPZ6W_TpnRS-9nXmJldcTArrAbl-bJiX4sno/edit#gid=0* NAMI Crisis Text Line: 741-741* National Suicide Prevention Lifeline: 1-800-273-8255* National Domestic Violence Hotline: 1-800-799-SAFE (7233)* National Sexual Assault Hotline: 1-800-656-HOPE (4673) crisis chat support at: https://hotline.rainn.org/online/terms-of-service.jsp• Spokane Regional Health District: https://srhd.org/• Spokane County: https://www.spokanecounty.org/4572/COVID-19• Washington State Health Care Authority: https://www.hca.wa.gov/information-about-novel-corona-virus-covid-19• Better Health Together: http://www.betterhealthtogether.org/covid19-resource-center• Washington State Department of Health: https://www.doh.wa.gov/Emergencies/Coronavirus• The Center for Disease Control and Prevention: https://www.cdc.gov/coronavirus/2019-ncov/index.html Stress and Coping: https://www.cdc.gov/coronoavirus/2019-ncov/daily-life-coping/managing-stress-anxiety.html• World Health Organization: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/events-as-they-happen Media Contact: SpokaneCOVIDResponse@gmail.com For Immediate Release May 25, 2020 COVID - 19 Update Spokane, Wash. - Today, Spokane Regional Health District (SRHD) has confirmed new positive cases of 2019 novel coronavirus (COVID - 19) in Spokane County.",spokane,Washington
4,";*H' '""') As we are all going through a difficult time with COVID - 19 and taking on new challenges, the Spokane County Regional Behavioral Health Ombuds would like to take this opportunity to let you and the individuals you are serving know that we are still here to serve you.",spokane,Washington
5,"Spokane County Regional Behavioral Health Ombuds Please feel free to contact us with any questions of concerns you have at: 509 - 477 - 4666 or SCRBHOmbuds@spokaneco unty.org Media Contact: SpokaneCOVIDResponse@gmail.com For Immediate Release May 1 4 , 2020 90 - day regional COVID - response shelters to open this week Sites meet physical distancing requirements to limit spread of illness in shelters Two temporary shelter locations will open this week to accommodate physical distancing among unsheltered adults , replacing sites that have been utilized for the community response to COVID - 19, the regional Emergency Operations Center (EOC) announced today.",spokane,Washington
6,"### Media Contact: SpokaneCOVIDResponse@gmail.com For Immediate Release May 2 6 , 2020 COVID - 19 Update Spokane, Wash. - Today, Spokane Regional Health District (SRHD) has confirmed new positive cases of 2019 novel coronavirus (COVID - 19) in Spokane County.",spokane,Washington
7,"### News Release FOR IMMEDIATE RELEASE Date: 0 5/12 /2020 SPOKANE COUNTY SEEKS VARIANCE FROM GOVERNOR FOR PHASE 2 SPOKANE COUNTY, Wash.",spokane,Washington
8,CONTACT: Jared Webley Public Policy and Communications Manager Office: (509) 477 - 2479 Cell: (509) 960 - 1082 jcwebley@spokanecounty.org 1 - 833 - 681 - 0211 TTY available M - F 9am to 9pm Weekends 9am to 6pm A program to support Washington during the C OVID - 19 outbreak What is Washington Listens?,spokane,Washington
9,"Page -1- U. S. Department of Justice United States Attorney Eastern District of Washington PRESS RELEASE FOR IMMEDIATE RELEASE Friday, March 20, 2020 FOR INFORMATION CONTACT: George J.C. Jacobs, III Public Information Officer (509) 353 -2767 UNITED STATES ATTORNEY WILLIAM D. HYSLOP ADDRESSES COMMUNITY SAFETY AND ISSUES WARNING AGAINST COVID -19 FRAUD SCHEMES AND OTHER CRIMES Spokane, Washington Œ William D. Hyslop, United States Attorney for the Eastern District of Washington, addressed the status of the public safety amidst the COVID -19 pandemic.",spokane,Washington
10,"Media Contact: SpokaneCOVIDResponse@gmail.com For Immediate Release May 1 5 , 2020 COVID - 19 Update Spokane, Wash. - Today, Spokane Regional Health District (SRHD) has confirmed new positive cases of 2019 novel coronavirus (COVID - 19) in Spokane County.",spokane,Washington
